,Time,Name
0,2000-01-01,Ecuador
1,2000-01-01,Israel
2,2000-01-01,Colombia
3,2000-01-01,Morocco
4,2000-01-01,Peru
5,2000-01-01,Luxembourg
6,2000-01-01,Spain
7,2000-01-01,Estonia
8,2000-01-01,Latvia
9,2000-01-01,Slovakia
10,2000-01-01,Singapore
11,2000-01-01,Lithuania
12,2000-01-01,Italy
13,2000-01-01,Sweden
14,2000-01-01,China
15,2000-01-01,Belarus
16,2000-01-01,Germany
17,2000-01-01,Bangladesh
18,2000-01-01,Switzerland
19,2000-01-01,Chile
20,2000-01-01,Ethiopia
21,2000-01-01,Austria
22,2000-01-01,Netherlands
23,2000-01-01,Czech Republic
24,2000-01-01,Argentina
25,2000-01-01,Albania
26,2000-01-01,United Kingdom
27,2000-01-01,Niger
28,2000-01-01,Greece
29,2000-01-01,Finland
30,2000-01-01,Hungary
31,2000-01-01,Iceland
32,2000-01-01,Somalia
33,2000-01-01,Iraq
34,2000-01-01,Ireland
35,2000-01-01,Poland
36,2000-01-01,Portugal
37,2000-01-01,Jordan
38,2000-01-01,Serbia
39,2000-01-01,Senegal
40,2000-01-01,Mexico
41,2000-01-01,Montenegro
42,2000-01-01,Pakistan
43,2000-01-01,Nepal
44,2000-01-01,Nicaragua
45,2000-01-01,Iran (Islamic Republic of)
46,2000-01-01,Kyrgyzstan
47,2000-01-01,Ghana
48,2000-01-01,Bhutan
49,2000-01-01,Turkmenistan
50,2000-01-01,Uganda
51,2000-01-01,Cambodia
52,2000-01-01,United Arab Emirates
53,2000-01-01,Bulgaria
54,2000-01-01,Uruguay
55,2000-01-01,Brazil
56,2000-01-01,Croatia
57,2000-01-01,Uzbekistan
58,2000-01-01,Algeria
59,2000-01-01,Bosnia and Herzegovina
60,2000-01-01,Cyprus
61,2000-01-01,Tunisia
62,2000-01-01,Belgium
63,2000-01-01,Malaysia
64,2000-01-01,Japan
65,2000-01-01,Lebanon
66,2000-01-01,Slovenia
67,2000-01-01,Romania
68,2000-01-01,India
69,2000-01-01,Bolivia (Plurinational State of)
70,2000-01-01,Turkey
71,2000-01-01,Kuwait
72,2000-01-01,State of Palestine
73,2000-01-01,Azerbaijan
74,2000-01-01,Egypt
75,2000-01-01,Australia
76,2000-01-01,New Zealand
77,2000-01-01,Norway
78,2000-01-01,Denmark
79,2000-01-01,Georgia
80,2000-01-01,Republic of Korea
81,2000-01-01,Cuba
82,2000-01-01,France
83,2000-01-01,Panama
84,2000-01-01,Oman
85,2000-01-01,Zambia
86,2000-01-01,Russian Federation
87,2000-01-01,Rwanda
88,2000-01-01,Nigeria
89,2000-01-01,Yemen
90,2000-01-01,Armenia
91,2000-01-01,Bahrain
92,2000-01-01,Mozambique
93,2000-01-01,Qatar
94,2000-01-01,Saudi Arabia
95,2000-01-01,Republic of Moldova
96,2000-01-01,Libya
97,2000-01-01,Botswana
98,2000-01-01,El Salvador
99,2000-01-01,Tajikistan
100,2000-01-01,Gambia
101,2000-01-01,Costa Rica
102,2000-01-01,Congo
103,2000-01-01,Guatemala
104,2000-01-01,Honduras
105,2000-01-01,Canada
106,2000-01-01,Ukraine
107,2000-01-01,Sri Lanka
108,2000-01-01,Kazakhstan
109,2000-01-01,Kenya
110,2000-01-01,United Rep. of Tanzania
111,2000-01-01,Tonga
112,2000-01-01,Togo
113,2000-01-01,Zimbabwe
114,2000-01-01,Thailand
115,2000-01-01,Solomon Islands
116,2000-01-01,Syrian Arab Republic
117,2000-01-01,Sao Tome and Principe
118,2000-01-01,Philippines
119,2000-01-01,Samoa
120,2000-01-01,Saint Lucia
121,2000-01-01,Suriname
122,2000-01-01,Sierra Leone
123,2000-01-01,Vanuatu
124,2000-01-01,South Sudan
125,2000-01-01,Viet Nam
126,2000-01-01,Trinidad and Tobago
127,2000-01-01,Timor-Leste
128,2000-01-01,Afghanistan
129,2000-01-01,Papua New Guinea
130,2000-01-01,Liberia
131,2000-01-01,Lesotho
132,2000-01-01,Kiribati
133,2000-01-01,Jamaica
134,2000-01-01,Indonesia
135,2000-01-01,Haiti
136,2000-01-01,Guyana
137,2000-01-01,Guinea-Bissau
138,2000-01-01,Paraguay
139,2000-01-01,Guinea
140,2000-01-01,Comoros
141,2000-01-01,Djibouti
142,2000-01-01,Gabon
143,2000-01-01,Fiji
144,2000-01-01,Eritrea
145,2000-01-01,Central African Republic
146,2000-01-01,Equatorial Guinea
147,2000-01-01,Cameroon
148,2000-01-01,Malawi
149,2000-01-01,Angola
150,2000-01-01,Bahamas
151,2000-01-01,Namibia
152,2000-01-01,Myanmar
153,2000-01-01,Mongolia
154,2000-01-01,Belize
155,2000-01-01,Madagascar
156,2000-01-01,Micronesia (Fed. States of)
157,2000-01-01,Mauritania
158,2000-01-01,Brunei Darussalam
159,2000-01-01,Burkina Faso
160,2000-01-01,Mali
161,2000-01-01,Cabo Verde
162,2000-01-01,Benin
163,2000-01-01,Dominican Republic
164,2000-01-01,Burundi
165,2000-01-01,Barbados
166,2000-01-01,Chad
167,2000-01-01,Sudan
168,2000-01-01,Grenada
169,2000-01-01,Maldives
170,2000-01-01,Saint Vincent & Grenadines
171,2000-01-01,Palau
172,2000-01-01,Antigua and Barbuda
173,2000-01-01,Tuvalu
174,2000-01-01,Seychelles
175,2000-01-01,Niue
176,2000-01-01,Nauru
177,2000-01-01,Marshall Islands
178,2000-01-01,Swaziland
179,2000-01-01,Cook Islands
180,2000-01-01,Andorra
181,2000-01-01,Dominica
182,2000-01-01,San Marino
183,2000-01-01,Liechtenstein
184,2000-01-01,Monaco
185,2000-01-01,Saint Kitts and Nevis
186,2000-01-01,Eswatini
187,2000-01-01,United States of America
