,Time,Name,FIPS county code,State.Name
136,2000-01-01,Barren County,21009,Kentucky
137,2000-01-01,Barron County,55005,Wisconsin
138,2000-01-01,Barrow County,13013,Georgia
139,2000-01-01,Barry County,26015,Michigan
140,2000-01-01,Barry County,29009,Missouri
141,2000-01-01,Bartholomew County,18005,Indiana
142,2000-01-01,Barton County,29011,Missouri
143,2000-01-01,Barton County,20009,Kansas
144,2000-01-01,Bartow County,13015,Georgia
145,2000-01-01,Bastrop County,48021,Texas
146,2000-01-01,Bates County,29013,Missouri
147,2000-01-01,Bath County,51017,Virginia
148,2000-01-01,Bath County,21011,Kentucky
149,2000-01-01,Baxter County,5005,Arkansas
150,2000-01-01,Bay County,12005,Florida
151,2000-01-01,Bay County,26017,Michigan
152,2000-01-01,Bayfield County,55007,Wisconsin
153,2000-01-01,Baylor County,48023,Texas
154,2000-01-01,Beadle County,46005,South Dakota
155,2000-01-01,Bear Lake County,16007,Idaho
156,2000-01-01,Beaufort County,45013,South Carolina
157,2000-01-01,Beaufort County,37013,North Carolina
158,2000-01-01,Beauregard Parish,22011,Louisiana
159,2000-01-01,Beaver County,40007,Oklahoma
160,2000-01-01,Beaver County,42007,Pennsylvania
161,2000-01-01,Beaver County,49001,Utah
162,2000-01-01,Beaverhead County,30001,Montana
163,2000-01-01,Becker County,27005,Minnesota
164,2000-01-01,Beckham County,40009,Oklahoma
165,2000-01-01,Bedford County,42009,Pennsylvania
166,2000-01-01,Bedford County,51019,Virginia
167,2000-01-01,Bedford County,47003,Tennessee
168,2000-01-01,Bedford city,51515,Virginia
169,2000-01-01,Bee County,48025,Texas
170,2000-01-01,Belknap County,33001,New Hampshire
171,2000-01-01,Bell County,48027,Texas
172,2000-01-01,Bell County,21013,Kentucky
173,2000-01-01,Belmont County,39013,Ohio
174,2000-01-01,Beltrami County,27007,Minnesota
175,2000-01-01,Ben Hill County,13017,Georgia
176,2000-01-01,Benewah County,16009,Idaho
177,2000-01-01,Bennett County,46007,South Dakota
178,2000-01-01,Bennington County,50003,Vermont
179,2000-01-01,Benson County,38005,North Dakota
180,2000-01-01,Bent County,8011,Colorado
181,2000-01-01,Benton County,41003,Oregon
182,2000-01-01,Benton County,53005,Washington
183,2000-01-01,Benton County,47005,Tennessee
184,2000-01-01,Benton County,18007,Indiana
185,2000-01-01,Benton County,5007,Arkansas
186,2000-01-01,Benton County,27009,Minnesota
187,2000-01-01,Benton County,29015,Missouri
188,2000-01-01,Benton County,28009,Mississippi
189,2000-01-01,Benton County,19011,Iowa
190,2000-01-01,Benzie County,26019,Michigan
191,2000-01-01,Bergen County,34003,New Jersey
192,2000-01-01,Berkeley County,45015,South Carolina
193,2000-01-01,Berkeley County,54003,West Virginia
194,2000-01-01,Berks County,42011,Pennsylvania
195,2000-01-01,Berkshire County,25003,Massachusetts
196,2000-01-01,Bernalillo County,35001,New Mexico
197,2000-01-01,Berrien County,13019,Georgia
198,2000-01-01,Berrien County,26021,Michigan
199,2000-01-01,Bertie County,37015,North Carolina
200,2000-01-01,Bethel Census Area,2050,Alaska
201,2000-01-01,Bexar County,48029,Texas
202,2000-01-01,Bibb County,13021,Georgia
203,2000-01-01,Bibb County,1007,Alabama
204,2000-01-01,Bienville Parish,22013,Louisiana
205,2000-01-01,Big Horn County,30003,Montana
206,2000-01-01,Big Horn County,56003,Wyoming
207,2000-01-01,Big Stone County,27011,Minnesota
208,2000-01-01,Billings County,38007,North Dakota
209,2000-01-01,Bingham County,16011,Idaho
210,2000-01-01,Black Hawk County,19013,Iowa
211,2000-01-01,Blackford County,18009,Indiana
212,2000-01-01,Bladen County,37017,North Carolina
213,2000-01-01,Blaine County,40011,Oklahoma
214,2000-01-01,Blaine County,30005,Montana
215,2000-01-01,Blaine County,31009,Nebraska
216,2000-01-01,Blaine County,16013,Idaho
217,2000-01-01,Blair County,42013,Pennsylvania
218,2000-01-01,Blanco County,48031,Texas
219,2000-01-01,Bland County,51021,Virginia
220,2000-01-01,Bleckley County,13023,Georgia
221,2000-01-01,Bledsoe County,47007,Tennessee
222,2000-01-01,Blount County,47009,Tennessee
223,2000-01-01,Blount County,1009,Alabama
224,2000-01-01,Blue Earth County,27013,Minnesota
225,2000-01-01,Boise County,16015,Idaho
226,2000-01-01,Bolivar County,28011,Mississippi
227,2000-01-01,Bollinger County,29017,Missouri
228,2000-01-01,Bon Homme County,46009,South Dakota
229,2000-01-01,Bond County,17005,Illinois
230,2000-01-01,Bonner County,16017,Idaho
231,2000-01-01,Bonneville County,16019,Idaho
232,2000-01-01,Boone County,31011,Nebraska
233,2000-01-01,Boone County,54005,West Virginia
234,2000-01-01,Boone County,18011,Indiana
235,2000-01-01,Boone County,17007,Illinois
236,2000-01-01,Boone County,5009,Arkansas
237,2000-01-01,Boone County,29019,Missouri
238,2000-01-01,Boone County,19015,Iowa
239,2000-01-01,Boone County,21015,Kentucky
240,2000-01-01,Borden County,48033,Texas
241,2000-01-01,Bosque County,48035,Texas
242,2000-01-01,Bossier Parish,22015,Louisiana
243,2000-01-01,Botetourt County,51023,Virginia
244,2000-01-01,Bottineau County,38009,North Dakota
245,2000-01-01,Boulder County,8013,Colorado
246,2000-01-01,Boundary County,16021,Idaho
247,2000-01-01,Bourbon County,20011,Kansas
248,2000-01-01,Bourbon County,21017,Kentucky
