,Time,Name,Population,Population growth (%/year)
0,2005-01-01,Bangladesh,143430000,1.7
1,2005-01-01,China,1321620000,0.6
2,2005-01-01,Brazil,186920000,1.3
3,2005-01-01,Mexico,108470000,1.3
4,2005-01-01,Pakistan,153910000,2.1
5,2005-01-01,India,1144120000,1.7
6,2005-01-01,Japan,128340000,0.1
7,2005-01-01,Nigeria,138940000,2.5
8,2005-01-01,Russian Federation,143620000,-0.4
9,2005-01-01,Indonesia,226710000,1.4
10,2015-01-01,Philippines,101720000,1.6
11,2018-01-01,Ethiopia,107530000,
