,Time,Name,Population,Population growth (%/year)
0,2015-01-01,Luxembourg,570000,2.2
1,2015-01-01,Singapore,5540000,1.7
2,2015-01-01,State of Palestine,4660000,2.7
3,2015-01-01,Bahrain,1370000,2.0
4,2015-01-01,Brunei Darussalam,420000,1.4
5,2015-01-01,Cabo Verde,530000,1.2
6,2015-01-01,Comoros,780000,2.4
7,2015-01-01,Kiribati,110000,1.8
8,2015-01-01,Sao Tome and Principe,200000,2.2
