,Time,Name,Fertility rate
164,2000-01-01,Republic of Moldova,1.2
165,2000-01-01,Nepal,3.6
166,2000-01-01,Namibia,3.8
167,2000-01-01,Lithuania,1.3
168,2000-01-01,Luxembourg,1.7
169,2000-01-01,Madagascar,5.3
170,2000-01-01,Malawi,6.0
171,2000-01-01,Malaysia,2.5
172,2000-01-01,Maldives,2.6
173,2000-01-01,Mali,6.9
174,2000-01-01,Malta,1.5
175,2000-01-01,Dominican Republic,2.8
176,2000-01-01,Dem. Rep. of the Congo,6.7
177,2000-01-01,Mauritania,5.3
178,2000-01-01,Mexico,2.6
179,2000-01-01,Micronesia (Fed. States of),4.1
180,2000-01-01,Djibouti,4.2
181,2000-01-01,Mongolia,2.1
182,2000-01-01,Montenegro,1.9
183,2000-01-01,Denmark,1.8
184,2000-01-01,Morocco,2.7
185,2000-01-01,Mozambique,5.8
186,2000-01-01,Myanmar,2.9
187,2000-01-01,Mauritius,1.9
188,2000-01-01,Canada,1.5
189,2000-01-01,Central African Republic,5.5
190,2000-01-01,Chad,7.2
191,2000-01-01,Belize,3.4
192,2000-01-01,Saint Lucia,1.9
193,2000-01-01,Belgium,1.7
194,2000-01-01,Saint Vincent & Grenadines,2.2
195,2000-01-01,Samoa,4.4
196,2000-01-01,Belarus,1.3
197,2000-01-01,Sao Tome and Principe,5.1
198,2000-01-01,Saudi Arabia,3.7
199,2000-01-01,Senegal,5.3
200,2000-01-01,Serbia,1.7
201,2000-01-01,Sierra Leone,6.1
202,2000-01-01,Singapore,1.3
203,2000-01-01,Barbados,1.8
204,2000-01-01,Slovenia,1.2
205,2000-01-01,Solomon Islands,4.6
206,2000-01-01,Somalia,7.5
207,2000-01-01,South Africa,2.8
208,2000-01-01,South Sudan,6.0
209,2000-01-01,South-eastern Asia,2.5
210,2000-01-01,Benin,5.8
211,2000-01-01,Rwanda,5.4
212,2000-01-01,Russian Federation,1.3
213,2000-01-01,Romania,1.3
214,2000-01-01,Niger,7.7
215,2000-01-01,Nigeria,6.1
216,2000-01-01,Bosnia and Herzegovina,1.3
217,2000-01-01,Northern Africa,3.2
218,2000-01-01,Bolivia (Plurin. State of),3.8
219,2000-01-01,Norway,1.8
220,2000-01-01,Oman,3.2
221,2000-01-01,Pakistan,4.2
222,2000-01-01,Bhutan,3.1
223,2000-01-01,Southern Asia,3.2
224,2000-01-01,Panama,2.7
225,2000-01-01,Paraguay,3.2
226,2000-01-01,Peru,2.8
227,2000-01-01,Philippines,3.7
228,2000-01-01,Poland,1.3
229,2000-01-01,Portugal,1.5
230,2000-01-01,Puerto Rico,1.9
231,2000-01-01,Qatar,3.0
232,2000-01-01,Republic of Korea,1.2
233,2000-01-01,Republic of Moldova,1.2
234,2000-01-01,Papua New Guinea,4.4
235,2000-01-01,Spain,1.3
