,Time,Name,Population growth (%),Life expectancy (years)
134,2000-01-01,Ecuador,1.7,73.6
135,2000-01-01,Grenada,0.3,70.9
136,2000-01-01,Guatemala,2.3,68.9
137,2000-01-01,Guinea,1.9,51.3
138,2000-01-01,Guinea-Bissau,2.1,52.7
139,2000-01-01,Gambia,3.2,56.9
140,2000-01-01,Lesotho,0.8,45.6
141,2000-01-01,Liberia,2.5,52.4
142,2000-01-01,Libya,1.6,70.8
143,2000-01-01,New Zealand,1.4,79.1
144,2000-01-01,Nicaragua,1.4,70.9
145,2000-01-01,Niger,3.6,51.4
146,2000-01-01,Nigeria,2.5,46.9
147,2000-01-01,Dem. People's Rep. Korea,0.8,68.1
148,2000-01-01,Northern Africa,1.7,67.9
149,2000-01-01,Côte d'Ivoire,1.9,46.7
150,2000-01-01,Norway,0.6,79.3
151,2000-01-01,Oman,2.0,73.2
152,2000-01-01,Netherlands,0.5,78.7
153,2000-01-01,Pakistan,2.1,63.3
154,2000-01-01,Panama,1.9,75.5
155,2000-01-01,Papua New Guinea,2.5,62.6
156,2000-01-01,Paraguay,1.8,70.8
157,2000-01-01,Peru,1.3,71.6
158,2000-01-01,Philippines,2.0,67.5
159,2000-01-01,Poland,-0.1,74.6
160,2000-01-01,Portugal,0.4,77.6
161,2000-01-01,Puerto Rico,-0.2,76.8
162,2000-01-01,Qatar,7.6,76.6
163,2000-01-01,Albania,-0.3,74.8
164,2000-01-01,Republic of Moldova,-0.2,67.6
165,2000-01-01,Nepal,1.5,64.1
166,2000-01-01,Namibia,1.4,53.8
167,2000-01-01,Lithuania,-0.9,71.6
168,2000-01-01,Luxembourg,1.0,78.3
169,2000-01-01,Madagascar,3.0,60.0
170,2000-01-01,Malawi,2.7,47.3
171,2000-01-01,Malaysia,2.0,73.2
172,2000-01-01,Maldives,2.6,72.1
173,2000-01-01,Mali,3.1,50.0
174,2000-01-01,Malta,0.5,78.5
175,2000-01-01,Dominican Republic,1.5,71.1
176,2000-01-01,Dem. Rep. of the Congo,3.0,51.8
177,2000-01-01,Mauritania,2.9,60.3
178,2000-01-01,Mexico,1.3,74.9
179,2000-01-01,Micronesia (Fed. States of),-0.2,67.6
180,2000-01-01,Djibouti,1.8,57.3
181,2000-01-01,Mongolia,1.0,64.1
182,2000-01-01,Montenegro,0.1,73.4
