,Time,Name
206,2000-01-01,Somalia
207,2000-01-01,South Africa
208,2000-01-01,South Sudan
209,2000-01-01,South-eastern Asia
210,2000-01-01,Benin
211,2000-01-01,Rwanda
212,2000-01-01,Russian Federation
213,2000-01-01,Romania
214,2000-01-01,Niger
215,2000-01-01,Nigeria
216,2000-01-01,Bosnia and Herzegovina
217,2000-01-01,Northern Africa
218,2000-01-01,Bolivia (Plurin. State of)
219,2000-01-01,Norway
220,2000-01-01,Oman
221,2000-01-01,Pakistan
222,2000-01-01,Bhutan
223,2000-01-01,Southern Asia
224,2000-01-01,Panama
225,2000-01-01,Paraguay
226,2000-01-01,Peru
227,2000-01-01,Philippines
228,2000-01-01,Poland
229,2000-01-01,Portugal
230,2000-01-01,Puerto Rico
231,2000-01-01,Qatar
232,2000-01-01,Republic of Korea
233,2000-01-01,Republic of Moldova
234,2000-01-01,Papua New Guinea
235,2000-01-01,Spain
236,2000-01-01,Sri Lanka
237,2000-01-01,State of Palestine
238,2000-01-01,United Kingdom
239,2000-01-01,United Rep. of Tanzania
240,2000-01-01,United States of America
241,2000-01-01,Uzbekistan
242,2000-01-01,Vanuatu
243,2000-01-01,Venezuela (Boliv. Rep. of)
244,2000-01-01,Viet Nam
245,2000-01-01,Azerbaijan
246,2000-01-01,Western Asia
247,2000-01-01,United Arab Emirates
248,2000-01-01,Yemen
249,2000-01-01,Zimbabwe
250,2000-01-01,Afghanistan
251,2000-01-01,Albania
252,2000-01-01,Algeria
253,2000-01-01,Austria
254,2000-01-01,Angola
255,2000-01-01,Australia
256,2000-01-01,Argentina
257,2000-01-01,Armenia
258,2000-01-01,Zambia
259,2000-01-01,Nicaragua
260,2000-01-01,Ukraine
261,2000-01-01,Bahamas
262,2000-01-01,Sub-Saharan Africa
263,2000-01-01,Sudan
264,2000-01-01,Suriname
265,2000-01-01,Swaziland
266,2000-01-01,Sweden
267,2000-01-01,Switzerland
268,2000-01-01,Syrian Arab Republic
269,2000-01-01,TFYR of Macedonia
270,2000-01-01,Tajikistan
271,2000-01-01,Uganda
272,2000-01-01,Thailand
273,2000-01-01,Togo
274,2000-01-01,Bangladesh
275,2000-01-01,Tonga
276,2000-01-01,"Total, all countries or areas"
277,2000-01-01,Trinidad and Tobago
278,2000-01-01,Tunisia
279,2000-01-01,Turkey
280,2000-01-01,Turkmenistan
281,2000-01-01,Bahrain
282,2000-01-01,Timor-Leste
283,2000-01-01,New Zealand
284,2000-01-01,Netherlands
285,2000-01-01,Nepal
286,2000-01-01,Ethiopia
287,2000-01-01,Canada
288,2000-01-01,Fiji
289,2000-01-01,Finland
290,2000-01-01,France
291,2000-01-01,Gabon
292,2000-01-01,Gambia
293,2000-01-01,Georgia
294,2000-01-01,Ghana
295,2000-01-01,Estonia
296,2000-01-01,Cameroon
297,2000-01-01,Cambodia
298,2000-01-01,Grenada
299,2000-01-01,Guatemala
300,2000-01-01,Guinea
301,2000-01-01,Guinea-Bissau
302,2000-01-01,Guyana
303,2000-01-01,Haiti
304,2000-01-01,Cabo Verde
305,2000-01-01,Honduras
306,2000-01-01,Greece
307,2000-01-01,Hungary
308,2000-01-01,Eritrea
309,2000-01-01,El Salvador
310,2000-01-01,Chile
311,2000-01-01,China
312,2000-01-01,Colombia
313,2000-01-01,Comoros
314,2000-01-01,Congo
315,2000-01-01,Costa Rica
316,2000-01-01,Croatia
317,2000-01-01,Cuba
318,2000-01-01,Cyprus
319,2000-01-01,Equatorial Guinea
320,2000-01-01,Czechia
321,2000-01-01,Dem. People's Rep. Korea
322,2000-01-01,Dem. Rep. of the Congo
323,2000-01-01,Denmark
324,2000-01-01,Djibouti
325,2000-01-01,Central African Republic
326,2000-01-01,Dominican Republic
327,2000-01-01,Eastern Asia
328,2000-01-01,Ecuador
329,2000-01-01,Egypt
330,2000-01-01,Côte d'Ivoire
331,2000-01-01,El Salvador
332,2000-01-01,Iceland
333,2000-01-01,Indonesia
334,2000-01-01,Madagascar
335,2000-01-01,Malawi
336,2000-01-01,Malaysia
337,2000-01-01,Maldives
338,2000-01-01,Mali
339,2000-01-01,Malta
340,2000-01-01,Bulgaria
341,2000-01-01,Mauritania
342,2000-01-01,Mauritius
343,2000-01-01,Luxembourg
344,2000-01-01,Mexico
345,2000-01-01,Brunei Darussalam
346,2000-01-01,Mongolia
347,2000-01-01,Montenegro
348,2000-01-01,Brazil
349,2000-01-01,Morocco
350,2000-01-01,Mozambique
351,2000-01-01,Myanmar
352,2000-01-01,Namibia
353,2000-01-01,Botswana
354,2000-01-01,Micronesia (Fed. States of)
355,2000-01-01,India
356,2000-01-01,Lithuania
357,2000-01-01,Libya
358,2000-01-01,Iran (Islamic Republic of)
359,2000-01-01,Iraq
360,2000-01-01,Ireland
361,2000-01-01,Burundi
362,2000-01-01,Israel
363,2000-01-01,Italy
364,2000-01-01,Jamaica
365,2000-01-01,Japan
366,2000-01-01,Jordan
367,2000-01-01,Burkina Faso
368,2000-01-01,Kazakhstan
369,2000-01-01,Kiribati
370,2000-01-01,Kuwait
371,2000-01-01,Kyrgyzstan
372,2000-01-01,Lao People's Dem. Rep.
373,2000-01-01,Latin America & the Caribbean
374,2000-01-01,Latvia
375,2000-01-01,Lebanon
376,2000-01-01,Lesotho
377,2000-01-01,Liberia
378,2000-01-01,Kenya
379,2000-01-01,Egypt
380,2000-01-01,Jamaica
381,2000-01-01,Russian Federation
382,2000-01-01,Belgium
383,2000-01-01,Mexico
384,2000-01-01,Belarus
385,2000-01-01,Micronesia (Fed. States of)
386,2000-01-01,Barbados
387,2000-01-01,Honduras
388,2000-01-01,Mongolia
389,2000-01-01,Ecuador
390,2000-01-01,Montenegro
391,2000-01-01,Morocco
392,2000-01-01,Mozambique
393,2000-01-01,Myanmar
394,2000-01-01,Namibia
395,2000-01-01,Bangladesh
396,2000-01-01,Guyana
397,2000-01-01,Nepal
398,2000-01-01,Haiti
399,2000-01-01,Belize
400,2000-01-01,Benin
401,2000-01-01,Kenya
402,2000-01-01,Lithuania
403,2000-01-01,Luxembourg
404,2000-01-01,Madagascar
405,2000-01-01,Malawi
406,2000-01-01,Brazil
407,2000-01-01,Malaysia
408,2000-01-01,Maldives
409,2000-01-01,Mali
410,2000-01-01,Botswana
411,2000-01-01,Malta
412,2000-01-01,Hungary
413,2000-01-01,Bosnia and Herzegovina
414,2000-01-01,Kazakhstan
415,2000-01-01,Bolivia (Plurin. State of)
416,2000-01-01,Mauritania
417,2000-01-01,Mauritius
418,2000-01-01,Bhutan
419,2000-01-01,Netherlands
420,2000-01-01,Iceland
421,2000-01-01,Bahrain
422,2000-01-01,Nicaragua
423,2000-01-01,Poland
424,2000-01-01,Angola
425,2000-01-01,Portugal
426,2000-01-01,Puerto Rico
427,2000-01-01,Qatar
428,2000-01-01,Republic of Korea
429,2000-01-01,Kuwait
430,2000-01-01,Kiribati
431,2000-01-01,Republic of Moldova
432,2000-01-01,Colombia
433,2000-01-01,Rwanda
434,2000-01-01,Kyrgyzstan
435,2000-01-01,Algeria
436,2000-01-01,Saint Lucia
437,2000-01-01,Grenada
438,2000-01-01,Saint Vincent & Grenadines
439,2000-01-01,Romania
440,2000-01-01,Philippines
441,2000-01-01,Peru
442,2000-01-01,Paraguay
443,2000-01-01,Niger
444,2000-01-01,Nigeria
445,2000-01-01,Guinea-Bissau
446,2000-01-01,Northern Africa
447,2000-01-01,Bahamas
448,2000-01-01,Azerbaijan
449,2000-01-01,Guinea
450,2000-01-01,Austria
451,2000-01-01,Norway
452,2000-01-01,Australia
453,2000-01-01,Oman
454,2000-01-01,Pakistan
455,2000-01-01,Armenia
456,2000-01-01,Guatemala
457,2000-01-01,Panama
458,2000-01-01,Argentina
459,2000-01-01,Papua New Guinea
460,2000-01-01,New Zealand
461,2000-01-01,Samoa
462,2000-01-01,Libya
463,2000-01-01,Lesotho
464,2000-01-01,El Salvador
465,2000-01-01,Equatorial Guinea
466,2000-01-01,Eritrea
467,2000-01-01,Estonia
468,2000-01-01,Ethiopia
469,2000-01-01,Israel
470,2000-01-01,Ireland
471,2000-01-01,Egypt
472,2000-01-01,Fiji
473,2000-01-01,France
474,2000-01-01,Japan
475,2000-01-01,Gabon
476,2000-01-01,Gambia
477,2000-01-01,Georgia
478,2000-01-01,Ghana
479,2000-01-01,Iraq
480,2000-01-01,Finland
481,2000-01-01,Ecuador
482,2000-01-01,Eastern Asia
483,2000-01-01,Central African Republic
484,2000-01-01,Comoros
485,2000-01-01,Congo
486,2000-01-01,Jamaica
487,2000-01-01,Costa Rica
488,2000-01-01,Croatia
489,2000-01-01,Cuba
490,2000-01-01,Chile
491,2000-01-01,Cyprus
492,2000-01-01,Czechia
493,2000-01-01,Chad
494,2000-01-01,Côte d'Ivoire
495,2000-01-01,Dem. People's Rep. Korea
496,2000-01-01,Dem. Rep. of the Congo
497,2000-01-01,Denmark
498,2000-01-01,Djibouti
499,2000-01-01,Italy
500,2000-01-01,Dominican Republic
501,2000-01-01,Greece
502,2000-01-01,Liberia
503,2000-01-01,Iran (Islamic Republic of)
504,2000-01-01,Canada
505,2000-01-01,Italy
506,2000-01-01,Jamaica
507,2000-01-01,Japan
508,2000-01-01,Jordan
509,2000-01-01,Bulgaria
510,2000-01-01,Brunei Darussalam
511,2000-01-01,Kazakhstan
512,2000-01-01,Burkina Faso
513,2000-01-01,Kenya
514,2000-01-01,Kuwait
515,2000-01-01,Kyrgyzstan
516,2000-01-01,Lao People's Dem. Rep.
517,2000-01-01,Latin America & the Caribbean
518,2000-01-01,Jordan
519,2000-01-01,Latvia
520,2000-01-01,Lebanon
521,2000-01-01,Kiribati
522,2000-01-01,Burundi
523,2000-01-01,Israel
524,2000-01-01,India
525,2000-01-01,Guatemala
526,2000-01-01,Guinea
527,2000-01-01,Guinea-Bissau
528,2000-01-01,Guyana
529,2000-01-01,Haiti
530,2000-01-01,Indonesia
531,2000-01-01,Honduras
532,2000-01-01,Hungary
533,2000-01-01,Cameroon
534,2000-01-01,Cambodia
535,2000-01-01,Iceland
536,2000-01-01,India
537,2000-01-01,Indonesia
538,2000-01-01,Iran (Islamic Republic of)
539,2000-01-01,Iraq
540,2000-01-01,Cabo Verde
541,2000-01-01,Ireland
542,2000-01-01,Grenada
543,2000-01-01,Greece
544,2000-01-01,China
545,2000-01-01,Saudi Arabia
546,2000-01-01,Azerbaijan
547,2000-01-01,Bahamas
548,2000-01-01,Bahrain
549,2000-01-01,Bangladesh
550,2000-01-01,Barbados
551,2000-01-01,Belarus
552,2000-01-01,Belgium
553,2000-01-01,Austria
554,2000-01-01,Belize
555,2000-01-01,Finland
556,2000-01-01,Bhutan
557,2000-01-01,Bolivia (Plurin. State of)
558,2000-01-01,Fiji
559,2000-01-01,Bosnia and Herzegovina
560,2000-01-01,Botswana
561,2000-01-01,Brazil
562,2000-01-01,Benin
563,2000-01-01,Lebanon
564,2000-01-01,Argentina
565,2000-01-01,Armenia
566,2000-01-01,Bangladesh
567,2000-01-01,Yemen
568,2000-01-01,Zambia
569,2000-01-01,Bahrain
570,2000-01-01,Zimbabwe
571,2000-01-01,Afghanistan
572,2000-01-01,Bahamas
573,2000-01-01,Australia
574,2000-01-01,Albania
575,2000-01-01,Sao Tome and Principe
576,2000-01-01,Austria
577,2000-01-01,Angola
578,2000-01-01,France
579,2000-01-01,Argentina
580,2000-01-01,Armenia
581,2000-01-01,Australia
582,2000-01-01,Algeria
583,2000-01-01,Barbados
584,2000-01-01,Brunei Darussalam
585,2000-01-01,Burkina Faso
586,2000-01-01,Costa Rica
587,2000-01-01,Croatia
588,2000-01-01,Cuba
589,2000-01-01,Afghanistan
590,2000-01-01,Cyprus
591,2000-01-01,Afghanistan
592,2000-01-01,Czechia
593,2000-01-01,Estonia
594,2000-01-01,Côte d'Ivoire
595,2000-01-01,Dem. Rep. of the Congo
596,2000-01-01,Denmark
597,2000-01-01,Afghanistan
598,2000-01-01,Djibouti
599,2000-01-01,Eritrea
600,2000-01-01,Dominican Republic
601,2000-01-01,Eastern Asia
602,2000-01-01,Dem. People's Rep. Korea
603,2000-01-01,Bulgaria
604,2000-01-01,Congo
605,2000-01-01,Afghanistan
606,2000-01-01,Burundi
607,2000-01-01,Cabo Verde
608,2000-01-01,Cambodia
609,2000-01-01,Cameroon
610,2000-01-01,Canada
611,2000-01-01,Ethiopia
612,2000-01-01,Central African Republic
613,2000-01-01,Comoros
614,2000-01-01,Angola
615,2000-01-01,Chad
616,2000-01-01,Liberia
617,2000-01-01,Algeria
618,2000-01-01,Chile
619,2000-01-01,China
620,2000-01-01,Albania
621,2000-01-01,Colombia
622,2000-01-01,Lesotho
623,2000-01-01,Western Asia
624,2000-01-01,Azerbaijan
625,2000-01-01,Belgium
626,2000-01-01,Belarus
627,2000-01-01,Albania
628,2000-01-01,Suriname
629,2000-01-01,Swaziland
630,2000-01-01,Sweden
631,2000-01-01,Lao People's Dem. Rep.
632,2000-01-01,Slovenia
633,2000-01-01,Switzerland
634,2000-01-01,TFYR of Macedonia
635,2000-01-01,Tajikistan
636,2000-01-01,Thailand
