,Time,Name,Population growth (%)
163,2000-01-01,Albania,-0.3
164,2000-01-01,Republic of Moldova,-0.2
165,2000-01-01,Nepal,1.5
166,2000-01-01,Namibia,1.4
167,2000-01-01,Lithuania,-0.9
168,2000-01-01,Luxembourg,1.0
169,2000-01-01,Madagascar,3.0
170,2000-01-01,Malawi,2.7
171,2000-01-01,Malaysia,2.0
172,2000-01-01,Maldives,2.6
173,2000-01-01,Mali,3.1
174,2000-01-01,Malta,0.5
175,2000-01-01,Dominican Republic,1.5
176,2000-01-01,Dem. Rep. of the Congo,3.0
177,2000-01-01,Mauritania,2.9
178,2000-01-01,Mexico,1.3
179,2000-01-01,Micronesia (Fed. States of),-0.2
180,2000-01-01,Djibouti,1.8
181,2000-01-01,Mongolia,1.0
182,2000-01-01,Montenegro,0.1
183,2000-01-01,Denmark,0.3
184,2000-01-01,Morocco,1.1
185,2000-01-01,Mozambique,2.9
186,2000-01-01,Myanmar,1.0
187,2000-01-01,Mauritius,0.6
188,2000-01-01,Canada,1.0
189,2000-01-01,Central African Republic,1.9
190,2000-01-01,Chad,3.8
191,2000-01-01,Belize,2.7
192,2000-01-01,Saint Lucia,0.8
193,2000-01-01,Belgium,0.5
194,2000-01-01,Saint Vincent & Grenadines,0.2
195,2000-01-01,Samoa,0.6
196,2000-01-01,Belarus,-0.6
197,2000-01-01,Sao Tome and Principe,2.3
198,2000-01-01,Saudi Arabia,2.8
199,2000-01-01,Senegal,2.6
200,2000-01-01,Serbia,-0.6
201,2000-01-01,Sierra Leone,4.3
202,2000-01-01,Singapore,2.8
203,2000-01-01,Barbados,0.3
204,2000-01-01,Slovenia,0.1
205,2000-01-01,Solomon Islands,2.6
206,2000-01-01,Somalia,2.9
207,2000-01-01,South Africa,1.3
208,2000-01-01,South Sudan,3.8
209,2000-01-01,South-eastern Asia,1.4
210,2000-01-01,Benin,3.0
211,2000-01-01,Rwanda,2.3
212,2000-01-01,Russian Federation,-0.4
213,2000-01-01,Romania,-0.6
214,2000-01-01,Niger,3.6
215,2000-01-01,Nigeria,2.5
216,2000-01-01,Bosnia and Herzegovina,0.1
217,2000-01-01,Northern Africa,1.7
218,2000-01-01,Bolivia (Plurin. State of),1.8
219,2000-01-01,Norway,0.6
220,2000-01-01,Oman,2.0
221,2000-01-01,Pakistan,2.1
222,2000-01-01,Bhutan,2.7
223,2000-01-01,Southern Asia,1.7
224,2000-01-01,Panama,1.9
225,2000-01-01,Paraguay,1.8
226,2000-01-01,Peru,1.3
227,2000-01-01,Philippines,2.0
228,2000-01-01,Poland,-0.1
229,2000-01-01,Portugal,0.4
230,2000-01-01,Puerto Rico,-0.2
231,2000-01-01,Qatar,7.6
232,2000-01-01,Republic of Korea,0.6
233,2000-01-01,Republic of Moldova,-0.2
234,2000-01-01,Papua New Guinea,2.5
235,2000-01-01,Spain,1.5
236,2000-01-01,Sri Lanka,0.8
237,2000-01-01,State of Palestine,2.1
238,2000-01-01,United Kingdom,0.4
239,2000-01-01,United Rep. of Tanzania,2.8
240,2000-01-01,United States of America,0.9
241,2000-01-01,Uzbekistan,1.3
242,2000-01-01,Vanuatu,2.5
243,2000-01-01,Venezuela (Boliv. Rep. of),1.8
244,2000-01-01,Viet Nam,1.0
245,2000-01-01,Azerbaijan,1.0
246,2000-01-01,Western Asia,2.1
247,2000-01-01,United Arab Emirates,7.5
248,2000-01-01,Yemen,2.8
249,2000-01-01,Zimbabwe,1.1
250,2000-01-01,Afghanistan,4.4
251,2000-01-01,Albania,-0.3
252,2000-01-01,Algeria,1.3
253,2000-01-01,Austria,0.5
254,2000-01-01,Angola,3.5
255,2000-01-01,Australia,1.2
256,2000-01-01,Argentina,1.1
257,2000-01-01,Armenia,-0.6
258,2000-01-01,Zambia,2.7
259,2000-01-01,Nicaragua,1.4
260,2000-01-01,Ukraine,-0.8
261,2000-01-01,Bahamas,2.0
262,2000-01-01,Sub-Saharan Africa,2.7
263,2000-01-01,Sudan,2.5
264,2000-01-01,Suriname,1.1
265,2000-01-01,Swaziland,0.8
266,2000-01-01,Sweden,0.4
267,2000-01-01,Switzerland,0.7
268,2000-01-01,Syrian Arab Republic,2.2
269,2000-01-01,TFYR of Macedonia,0.2
270,2000-01-01,Tajikistan,2.0
271,2000-01-01,Uganda,3.4
272,2000-01-01,Thailand,0.8
273,2000-01-01,Togo,2.7
274,2000-01-01,Bangladesh,1.7
275,2000-01-01,Tonga,0.6
276,2000-01-01,"Total, all countries or areas",1.3
277,2000-01-01,Trinidad and Tobago,0.5
278,2000-01-01,Tunisia,0.8
279,2000-01-01,Turkey,1.4
280,2000-01-01,Turkmenistan,1.0
281,2000-01-01,Bahrain,5.8
282,2000-01-01,Timor-Leste,3.3
283,2000-01-01,New Zealand,1.4
284,2000-01-01,Netherlands,0.5
