,Time,Name,FIPS county code,State.Name
0,2000-01-01,Autauga County,1001,Alabama
1,2000-01-01,Baldwin County,1003,Alabama
2,2000-01-01,Barbour County,1005,Alabama
3,2000-01-01,Bibb County,1007,Alabama
4,2000-01-01,Blount County,1009,Alabama
5,2000-01-01,Bullock County,1011,Alabama
6,2000-01-01,Butler County,1013,Alabama
7,2000-01-01,Calhoun County,1015,Alabama
8,2000-01-01,Chambers County,1017,Alabama
9,2000-01-01,Cherokee County,1019,Alabama
10,2000-01-01,Chilton County,1021,Alabama
11,2000-01-01,Choctaw County,1023,Alabama
12,2000-01-01,Clarke County,1025,Alabama
13,2000-01-01,Clay County,1027,Alabama
14,2000-01-01,Cleburne County,1029,Alabama
15,2000-01-01,Coffee County,1031,Alabama
16,2000-01-01,Colbert County,1033,Alabama
17,2000-01-01,Conecuh County,1035,Alabama
18,2000-01-01,Coosa County,1037,Alabama
19,2000-01-01,Covington County,1039,Alabama
20,2000-01-01,Crenshaw County,1041,Alabama
21,2000-01-01,Cullman County,1043,Alabama
22,2000-01-01,Dale County,1045,Alabama
23,2000-01-01,Dallas County,1047,Alabama
24,2000-01-01,DeKalb County,1049,Alabama
25,2000-01-01,Elmore County,1051,Alabama
26,2000-01-01,Escambia County,1053,Alabama
27,2000-01-01,Etowah County,1055,Alabama
28,2000-01-01,Fayette County,1057,Alabama
29,2000-01-01,Franklin County,1059,Alabama
30,2000-01-01,Geneva County,1061,Alabama
31,2000-01-01,Greene County,1063,Alabama
32,2000-01-01,Hale County,1065,Alabama
33,2000-01-01,Henry County,1067,Alabama
34,2000-01-01,Houston County,1069,Alabama
35,2000-01-01,Jackson County,1071,Alabama
36,2000-01-01,Jefferson County,1073,Alabama
37,2000-01-01,Lamar County,1075,Alabama
38,2000-01-01,Lauderdale County,1077,Alabama
39,2000-01-01,Lawrence County,1079,Alabama
40,2000-01-01,Lee County,1081,Alabama
41,2000-01-01,Limestone County,1083,Alabama
42,2000-01-01,Lowndes County,1085,Alabama
43,2000-01-01,Macon County,1087,Alabama
44,2000-01-01,Madison County,1089,Alabama
45,2000-01-01,Marengo County,1091,Alabama
46,2000-01-01,Marion County,1093,Alabama
47,2000-01-01,Marshall County,1095,Alabama
48,2000-01-01,Mobile County,1097,Alabama
49,2000-01-01,Monroe County,1099,Alabama
50,2000-01-01,Montgomery County,1101,Alabama
51,2000-01-01,Morgan County,1103,Alabama
52,2000-01-01,Perry County,1105,Alabama
53,2000-01-01,Pickens County,1107,Alabama
54,2000-01-01,Pike County,1109,Alabama
55,2000-01-01,Randolph County,1111,Alabama
56,2000-01-01,Russell County,1113,Alabama
57,2000-01-01,St. Clair County,1115,Alabama
58,2000-01-01,Shelby County,1117,Alabama
59,2000-01-01,Sumter County,1119,Alabama
60,2000-01-01,Talladega County,1121,Alabama
61,2000-01-01,Tallapoosa County,1123,Alabama
62,2000-01-01,Tuscaloosa County,1125,Alabama
63,2000-01-01,Walker County,1127,Alabama
64,2000-01-01,Washington County,1129,Alabama
65,2000-01-01,Wilcox County,1131,Alabama
66,2000-01-01,Winston County,1133,Alabama
67,2000-01-01,Aleutians East Borough,2013,Alaska
68,2000-01-01,Aleutians West Census Area,2016,Alaska
69,2000-01-01,Anchorage Municipality,2020,Alaska
70,2000-01-01,Bethel Census Area,2050,Alaska
71,2000-01-01,Bristol Bay Borough,2060,Alaska
72,2000-01-01,Denali Borough,2068,Alaska
73,2000-01-01,Dillingham Census Area,2070,Alaska
74,2000-01-01,Fairbanks North Star Borough,2090,Alaska
75,2000-01-01,Haines Borough,2100,Alaska
76,2000-01-01,Hoonah-Angoon Census Area,2105,Alaska
77,2000-01-01,Juneau City and Borough,2110,Alaska
