,Time,Name,State.Name
175,2000-01-01,Ben Hill County,4550
176,2000-01-01,Benewah County,4553
177,2000-01-01,Bennett County,4582
178,2000-01-01,Bennington County,4587
179,2000-01-01,Benson County,4568
180,2000-01-01,Bent County,4545
181,2000-01-01,Benton County,4577
182,2000-01-01,Benton County,4588
183,2000-01-01,Benton County,4583
184,2000-01-01,Benton County,4555
185,2000-01-01,Benton County,4542
186,2000-01-01,Benton County,4563
187,2000-01-01,Benton County,4564
188,2000-01-01,Benton County,4565
189,2000-01-01,Benton County,4552
190,2000-01-01,Benzie County,4562
191,2000-01-01,Bergen County,4571
192,2000-01-01,Berkeley County,4581
193,2000-01-01,Berkeley County,4590
194,2000-01-01,Berks County,4578
195,2000-01-01,Berkshire County,4559
196,2000-01-01,Bernalillo County,4572
197,2000-01-01,Berrien County,4550
198,2000-01-01,Berrien County,4562
199,2000-01-01,Bertie County,4567
200,2000-01-01,Bethel Census Area,4540
201,2000-01-01,Bexar County,4584
202,2000-01-01,Bibb County,4550
203,2000-01-01,Bibb County,4541
204,2000-01-01,Bienville Parish,4558
205,2000-01-01,Big Horn County,4566
206,2000-01-01,Big Horn County,4591
207,2000-01-01,Big Stone County,4563
208,2000-01-01,Billings County,4568
209,2000-01-01,Bingham County,4553
210,2000-01-01,Black Hawk County,4552
211,2000-01-01,Blackford County,4555
212,2000-01-01,Bladen County,4567
213,2000-01-01,Blaine County,4576
214,2000-01-01,Blaine County,4566
215,2000-01-01,Blaine County,4569
216,2000-01-01,Blaine County,4553
217,2000-01-01,Blair County,4578
218,2000-01-01,Blanco County,4584
219,2000-01-01,Bland County,4586
220,2000-01-01,Bleckley County,4550
221,2000-01-01,Bledsoe County,4583
222,2000-01-01,Blount County,4583
223,2000-01-01,Blount County,4541
224,2000-01-01,Blue Earth County,4563
225,2000-01-01,Boise County,4553
226,2000-01-01,Bolivar County,4565
227,2000-01-01,Bollinger County,4564
228,2000-01-01,Bon Homme County,4582
229,2000-01-01,Bond County,4554
230,2000-01-01,Bonner County,4553
231,2000-01-01,Bonneville County,4553
232,2000-01-01,Boone County,4569
233,2000-01-01,Boone County,4590
234,2000-01-01,Boone County,4555
235,2000-01-01,Boone County,4554
236,2000-01-01,Boone County,4542
237,2000-01-01,Boone County,4564
238,2000-01-01,Boone County,4552
239,2000-01-01,Boone County,4557
240,2000-01-01,Borden County,4584
241,2000-01-01,Bosque County,4584
242,2000-01-01,Bossier Parish,4558
243,2000-01-01,Botetourt County,4586
244,2000-01-01,Bottineau County,4568
245,2000-01-01,Boulder County,4545
246,2000-01-01,Boundary County,4553
247,2000-01-01,Bourbon County,4556
248,2000-01-01,Bourbon County,4557
249,2000-01-01,Bowie County,4584
250,2000-01-01,Bowman County,4568
251,2000-01-01,Box Butte County,4569
252,2000-01-01,Box Elder County,4585
253,2000-01-01,Boyd County,4569
254,2000-01-01,Boyd County,4557
255,2000-01-01,Boyle County,4557
256,2000-01-01,Bracken County,4557
257,2000-01-01,Bradford County,4578
258,2000-01-01,Bradford County,4549
259,2000-01-01,Bradley County,4583
260,2000-01-01,Bradley County,4542
261,2000-01-01,Branch County,4562
262,2000-01-01,Brantley County,4550
263,2000-01-01,Braxton County,4590
264,2000-01-01,Brazoria County,4584
265,2000-01-01,Brazos County,4584
266,2000-01-01,Breathitt County,4557
267,2000-01-01,Breckinridge County,4557
268,2000-01-01,Bremer County,4552
269,2000-01-01,Brevard County,4549
270,2000-01-01,Brewster County,4584
271,2000-01-01,Briscoe County,4584
272,2000-01-01,Bristol Bay Borough,4540
273,2000-01-01,Bristol County,4580
274,2000-01-01,Bristol County,4559
275,2000-01-01,Bristol city,4586
276,2000-01-01,Broadwater County,4566
277,2000-01-01,Bronx County,4574
278,2000-01-01,Brooke County,4590
279,2000-01-01,Brookings County,4582
280,2000-01-01,Brooks County,4584
281,2000-01-01,Brooks County,4550
282,2000-01-01,Broome County,4574
283,2000-01-01,Broomfield County,4545
284,2000-01-01,Broward County,4549
285,2000-01-01,Brown County,4575
286,2000-01-01,Brown County,4569
287,2000-01-01,Brown County,4589
288,2000-01-01,Brown County,4584
289,2000-01-01,Brown County,4582
290,2000-01-01,Brown County,4555
291,2000-01-01,Brown County,4554
292,2000-01-01,Brown County,4563
293,2000-01-01,Brown County,4556
294,2000-01-01,Brule County,4582
295,2000-01-01,Brunswick County,4567
296,2000-01-01,Brunswick County,4586
297,2000-01-01,Bryan County,4576
298,2000-01-01,Bryan County,4550
299,2000-01-01,Buchanan County,4586
300,2000-01-01,Buchanan County,4564
301,2000-01-01,Buchanan County,4552
302,2000-01-01,Buckingham County,4586
303,2000-01-01,Bucks County,4578
304,2000-01-01,Buena Vista County,4552
305,2000-01-01,Buena Vista city,4586
306,2000-01-01,Buffalo County,4569
307,2000-01-01,Buffalo County,4589
308,2000-01-01,Buffalo County,4582
309,2000-01-01,Bullitt County,4557
310,2000-01-01,Bulloch County,4550
311,2000-01-01,Bullock County,4541
312,2000-01-01,Buncombe County,4567
313,2000-01-01,Bureau County,4554
314,2000-01-01,Burke County,4568
315,2000-01-01,Burke County,4567
316,2000-01-01,Burke County,4550
317,2000-01-01,Burleigh County,4568
318,2000-01-01,Burleson County,4584
319,2000-01-01,Burlington County,4571
320,2000-01-01,Burnet County,4584
321,2000-01-01,Burnett County,4589
322,2000-01-01,Burt County,4569
323,2000-01-01,Butler County,4575
324,2000-01-01,Butler County,4578
325,2000-01-01,Butler County,4569
326,2000-01-01,Butler County,4541
327,2000-01-01,Butler County,4564
328,2000-01-01,Butler County,4556
329,2000-01-01,Butler County,4552
330,2000-01-01,Butler County,4557
331,2000-01-01,Butte County,4582
332,2000-01-01,Butte County,4553
333,2000-01-01,Butte County,4544
334,2000-01-01,Butts County,4550
335,2000-01-01,Cabarrus County,4567
336,2000-01-01,Cabell County,4590
337,2000-01-01,Cache County,4585
338,2000-01-01,Caddo County,4576
339,2000-01-01,Caddo Parish,4558
340,2000-01-01,Calaveras County,4544
341,2000-01-01,Calcasieu Parish,4558
342,2000-01-01,Caldwell County,4567
343,2000-01-01,Caldwell County,4584
344,2000-01-01,Caldwell County,4564
345,2000-01-01,Caldwell County,4557
346,2000-01-01,Caldwell Parish,4558
347,2000-01-01,Caledonia County,4587
348,2000-01-01,Calhoun County,4581
349,2000-01-01,Calhoun County,4590
350,2000-01-01,Calhoun County,4584
351,2000-01-01,Calhoun County,4550
352,2000-01-01,Calhoun County,4554
353,2000-01-01,Calhoun County,4542
354,2000-01-01,Calhoun County,4541
355,2000-01-01,Calhoun County,4549
356,2000-01-01,Calhoun County,4562
357,2000-01-01,Calhoun County,4565
358,2000-01-01,Calhoun County,4552
359,2000-01-01,Callahan County,4584
360,2000-01-01,Callaway County,4564
361,2000-01-01,Calloway County,4557
362,2000-01-01,Calumet County,4589
363,2000-01-01,Calvert County,4560
364,2000-01-01,Camas County,4553
365,2000-01-01,Cambria County,4578
366,2000-01-01,Camden County,4567
367,2000-01-01,Camden County,4571
368,2000-01-01,Camden County,4550
369,2000-01-01,Camden County,4564
370,2000-01-01,Cameron County,4578
371,2000-01-01,Cameron County,4584
372,2000-01-01,Cameron Parish,4558
373,2000-01-01,Camp County,4584
374,2000-01-01,Campbell County,4586
375,2000-01-01,Campbell County,4591
376,2000-01-01,Campbell County,4582
377,2000-01-01,Campbell County,4583
378,2000-01-01,Campbell County,4557
379,2000-01-01,Canadian County,4576
380,2000-01-01,Candler County,4550
381,2000-01-01,Cannon County,4583
382,2000-01-01,Canyon County,4553
383,2000-01-01,Cape Girardeau County,4564
384,2000-01-01,Cape May County,4571
385,2000-01-01,Carbon County,4578
386,2000-01-01,Carbon County,4566
387,2000-01-01,Carbon County,4585
388,2000-01-01,Carbon County,4591
389,2000-01-01,Caribou County,4553
390,2000-01-01,Carlisle County,4557
391,2000-01-01,Carlton County,4563
392,2000-01-01,Caroline County,4586
393,2000-01-01,Caroline County,4560
394,2000-01-01,Carroll County,4575
395,2000-01-01,Carroll County,4570
396,2000-01-01,Carroll County,4586
397,2000-01-01,Carroll County,4583
398,2000-01-01,Carroll County,4550
399,2000-01-01,Carroll County,4555
400,2000-01-01,Carroll County,4554
401,2000-01-01,Carroll County,4542
402,2000-01-01,Carroll County,4560
403,2000-01-01,Carroll County,4564
404,2000-01-01,Carroll County,4565
405,2000-01-01,Carroll County,4552
406,2000-01-01,Carroll County,4557
407,2000-01-01,Carson City,4573
408,2000-01-01,Carson County,4584
409,2000-01-01,Carter County,4576
410,2000-01-01,Carter County,4566
411,2000-01-01,Carter County,4583
412,2000-01-01,Carter County,4564
413,2000-01-01,Carter County,4557
414,2000-01-01,Carteret County,4567
415,2000-01-01,Carver County,4563
416,2000-01-01,Cascade County,4566
417,2000-01-01,Casey County,4557
418,2000-01-01,Cass County,4568
419,2000-01-01,Cass County,4569
420,2000-01-01,Cass County,4584
421,2000-01-01,Cass County,4555
422,2000-01-01,Cass County,4554
423,2000-01-01,Cass County,4563
424,2000-01-01,Cass County,4562
425,2000-01-01,Cass County,4564
426,2000-01-01,Cass County,4552
427,2000-01-01,Cassia County,4553
428,2000-01-01,Castro County,4584
429,2000-01-01,Caswell County,4567
430,2000-01-01,Catahoula Parish,4558
431,2000-01-01,Catawba County,4567
432,2000-01-01,Catoosa County,4550
433,2000-01-01,Catron County,4572
434,2000-01-01,Cattaraugus County,4574
435,2000-01-01,Cavalier County,4568
436,2000-01-01,Cayuga County,4574
437,2000-01-01,Cecil County,4560
438,2000-01-01,Cedar County,4569
439,2000-01-01,Cedar County,4564
440,2000-01-01,Cedar County,4552
441,2000-01-01,Centre County,4578
442,2000-01-01,Cerro Gordo County,4552
443,2000-01-01,Chaffee County,4545
444,2000-01-01,Chambers County,4584
445,2000-01-01,Chambers County,4541
446,2000-01-01,Champaign County,4575
447,2000-01-01,Champaign County,4554
448,2000-01-01,Chariton County,4564
449,2000-01-01,Charles City County,4586
450,2000-01-01,Charles County,4560
451,2000-01-01,Charles Mix County,4582
452,2000-01-01,Charleston County,4581
453,2000-01-01,Charlevoix County,4562
454,2000-01-01,Charlotte County,4586
455,2000-01-01,Charlotte County,4549
456,2000-01-01,Charlottesville city,4586
457,2000-01-01,Charlton County,4550
458,2000-01-01,Chase County,4569
459,2000-01-01,Chase County,4556
460,2000-01-01,Chatham County,4567
461,2000-01-01,Chatham County,4550
462,2000-01-01,Chattahoochee County,4550
463,2000-01-01,Chattooga County,4550
464,2000-01-01,Chautauqua County,4574
465,2000-01-01,Chautauqua County,4556
466,2000-01-01,Chaves County,4572
467,2000-01-01,Cheatham County,4583
468,2000-01-01,Cheboygan County,4562
469,2000-01-01,Chelan County,4588
470,2000-01-01,Chemung County,4574
471,2000-01-01,Chenango County,4574
472,2000-01-01,Cherokee County,4576
473,2000-01-01,Cherokee County,4581
474,2000-01-01,Cherokee County,4567
475,2000-01-01,Cherokee County,4584
476,2000-01-01,Cherokee County,4550
477,2000-01-01,Cherokee County,4541
478,2000-01-01,Cherokee County,4556
